time,lin_x,lin_y,lin_z,ang_x,ang_y,ang_z
0.19979596138000488,0.011634830385446548,0.008331194519996643,1.399999976158142,0.0,-1.0,-1.0
0.4098799228668213,0.011257611215114594,0.008331194519996643,1.399999976158142,0.0,0.0,-1.0
0.6194930076599121,0.012137144804000854,0.009210728108882904,1.399999976158142,-1.0,-1.0,-1.0
0.8292877674102783,0.011634661816060543,0.009461970068514347,1.399999976158142,0.0,-1.0,0.0
1.0394654273986816,0.012011689133942127,0.009964673779904842,1.399999976158142,0.0,-1.0,0.0
1.2592031955718994,0.012801581993699074,0.010622917674481869,1.399999976158142,0.0,-1.0,-1.0
1.4896209239959717,0.01211380586028099,0.011035583913326263,1.399999976158142,0.0,0.0,0.0
1.699124813079834,0.01324478629976511,0.011161248199641705,1.399999976158142,-1.0,-1.0,0.0
1.9091095924377441,0.012993387877941132,0.010658451355993748,1.399999976158142,-1.0,0.0,0.0
2.119804859161377,0.2629542052745819,0.027230437844991684,1.399999976158142,3.0,13.0,1.0
2.3294215202331543,0.39802196621894836,0.008617745712399483,1.399999976158142,1.0,-2.0,1.0
2.5486207008361816,0.527251124382019,0.030462997034192085,1.399999976158142,-1.0,-4.0,3.0
2.758819818496704,0.6124406456947327,0.05722608417272568,1.399999976158142,-2.0,-2.0,2.0
2.969207525253296,0.7092188596725464,0.08864758908748627,1.399999976158142,-2.0,4.0,4.0
3.198368549346924,0.8173015117645264,0.1461266726255417,1.399999976158142,-4.0,0.0,3.0
3.4090259075164795,0.9084455370903015,0.19578446447849274,1.399999976158142,0.0,8.0,4.0
3.6187212467193604,0.855435848236084,0.15671807527542114,1.399999976158142,-12.0,-4.0,0.0
3.8287160396575928,0.9431968331336975,0.34204718470573425,1.399999976158142,-23.0,-14.0,1.0
4.138017416000366,0.9554320573806763,0.6846339106559753,1.399999976158142,-1.0,-3.0,43.0
4.428137540817261,1.038024663925171,0.6882777214050293,1.399999976158142,9.0,3.0,14.0
4.757909297943115,1.0502722263336182,1.116941213607788,1.399999976158142,-5.0,-5.0,53.0
4.907762765884399,1.098456859588623,1.1222352981567383,1.399999976158142,-5.0,-3.0,24.0
5.118009805679321,1.1477110385894775,1.0839126110076904,1.399999976158142,-3.0,3.0,8.0
5.328229188919067,1.1372820138931274,1.1865696907043457,1.399999976158142,11.0,-1.0,23.0
5.537703275680542,1.1815087795257568,1.2702486515045166,1.399999976158142,2.0,-8.0,40.0
5.747650384902954,1.2568855285644531,1.2941179275512695,1.399999976158142,4.0,7.0,8.0
5.937362194061279,1.287447452545166,1.3049111366271973,1.399999976158142,-4.0,3.0,7.0
6.14764404296875,1.3083263635635376,1.2908241748809814,1.399999976158142,6.0,-8.0,7.0
6.387542247772217,1.3439207077026367,1.3215386867523193,1.399999976158142,1.0,8.0,6.0
6.59725284576416,1.303096055984497,1.2593597173690796,1.399999976158142,1.0,-7.0,3.0
6.807342529296875,1.3758676052093506,1.2584799528121948,1.399999976158142,-5.0,2.0,6.0
7.017296075820923,1.3903241157531738,1.3383049964904785,1.399999976158142,-1.0,-6.0,4.0
7.227121591567993,1.3822884559631348,1.2160115242004395,1.399999976158142,-3.0,-1.0,-9.0
7.4372828006744385,1.399999976158142,1.2474361658096313,1.399999976158142,-5.0,0.0,3.0
7.656849384307861,1.399999976158142,1.2455934286117554,1.399999976158142,-2.0,-5.0,4.0
7.88686203956604,1.399999976158142,1.207327127456665,1.399999976158142,3.0,3.0,7.0
8.09670615196228,1.399999976158142,1.1853326559066772,1.399999976158142,2.0,-4.0,7.0
8.326504945755005,1.399999976158142,1.2091249227523804,1.399999976158142,1.0,5.0,3.0
8.536813259124756,1.3700684309005737,0.9847643971443176,1.399999976158142,-11.0,-2.0,-44.0
8.746656894683838,1.399999976158142,0.96403568983078,1.399999976158142,8.0,0.0,-18.0
8.956427812576294,1.399999976158142,0.9669260382652283,1.399999976158142,0.0,1.0,5.0
9.166469097137451,1.399999976158142,0.9562475681304932,1.399999976158142,1.0,-1.0,4.0
9.376491785049438,1.399999976158142,1.028641700744629,1.399999976158142,-6.0,-5.0,2.0
9.586601972579956,1.399999976158142,1.029897928237915,1.399999976158142,2.0,7.0,4.0
9.79615569114685,1.399999976158142,1.0518814325332642,1.399999976158142,0.0,-1.0,5.0
10.006276845932007,1.3869296312332153,0.9603894352912903,1.399999976158142,4.0,-6.0,7.0
10.316028594970703,1.399999976158142,0.9001354575157166,1.399999976158142,4.0,1.0,4.0
10.656142473220825,1.399999976158142,0.9265891909599304,1.399999976158142,2.0,2.0,4.0
10.865739583969116,1.399999976158142,0.8327544927597046,1.399999976158142,5.0,10.0,1.0
11.075624465942383,1.3592864274978638,0.6697746515274048,1.399999976158142,-17.0,-9.0,-31.0
11.316262006759644,1.3090031147003174,0.6160433888435364,1.399999976158142,7.0,-3.0,3.0
11.53577971458435,1.3855921030044556,0.6614440679550171,1.399999976158142,-3.0,11.0,1.0
11.745546817779541,1.2102351188659668,0.5310890674591064,1.399999976158142,-5.0,-12.0,-21.0
11.955379009246826,1.3552448749542236,0.5572033524513245,1.399999976158142,-1.0,3.0,7.0
12.165180921554565,1.3308712244033813,0.5793155431747437,1.399999976158142,11.0,-2.0,1.0
12.375467300415039,1.399999976158142,0.5413278341293335,1.399999976158142,4.0,13.0,3.0
12.595231294631958,1.3419690132141113,0.42802926898002625,1.399999976158142,7.0,-8.0,3.0
12.825273036956787,1.399999976158142,0.36888590455055237,1.399999976158142,3.0,4.0,2.0
13.035316705703735,1.3889400959014893,0.3558151125907898,1.399999976158142,1.0,-3.0,4.0
13.245119094848633,1.399999976158142,0.3901287019252777,1.399999976158142,1.0,1.0,4.0
13.464766263961792,1.3919683694839478,0.3826237618923187,1.399999976158142,3.0,3.0,3.0
13.6747727394104,1.399999976158142,0.3999529778957367,1.399999976158142,-6.0,-5.0,-1.0
13.975123405456543,1.399999976158142,0.2379836142063141,1.399999976158142,-5.0,6.0,-12.0
14.314879894256592,1.399999976158142,0.2328980714082718,1.399999976158142,4.0,7.0,3.0
14.524477243423462,1.399999976158142,0.23478156328201294,1.399999976158142,4.0,-9.0,2.0
14.8345627784729,1.399999976158142,0.19098369777202606,1.399999976158142,-6.0,-5.0,0.0
15.124437808990479,1.399999976158142,0.1665172427892685,1.399999976158142,4.0,4.0,2.0
15.334152460098267,1.3839223384857178,0.15445896983146667,1.399999976158142,5.0,-5.0,0.0
15.544344902038574,1.399999976158142,0.19929960370063782,1.399999976158142,7.0,-2.0,3.0
15.754039525985718,1.399999976158142,0.15105295181274414,1.399999976158142,7.0,5.0,4.0
15.964065790176392,1.3488496541976929,0.04950638860464096,1.399999976158142,1.0,-2.0,5.0
16.333832025527954,1.300808310508728,0.608955979347229,1.399999976158142,8.0,-5.0,66.0
16.544328451156616,1.2195783853530884,0.8889853358268738,1.399999976158142,4.0,2.0,61.0
16.75392508506775,1.243831753730774,1.027468204498291,1.399999976158142,-3.0,-4.0,27.0
16.963833332061768,1.3012601137161255,1.054360270500183,1.399999976158142,1.0,3.0,2.0
17.173835039138794,1.2947298288345337,1.038788080215454,1.399999976158142,4.0,-7.0,-1.0
17.38372230529785,1.2998805046081543,1.2827540636062622,1.399999976158142,21.0,-4.0,41.0
17.65378737449646,1.3053759336471558,1.2620654106140137,1.399999976158142,0.0,0.0,7.0
17.86323833465576,1.3352521657943726,1.27750563621521,1.399999976158142,-3.0,-4.0,1.0
18.073443174362183,1.3879108428955078,1.2771285772323608,1.399999976158142,2.0,-2.0,-13.0
18.283167362213135,1.399999976158142,1.292968511581421,1.399999976158142,-1.0,7.0,-5.0
18.493300199508667,1.399999976158142,1.3148280382156372,1.399999976158142,0.0,0.0,10.0
18.703359127044678,1.399999976158142,1.2914459705352783,1.399999976158142,9.0,-1.0,0.0
18.91341757774353,1.399999976158142,1.3786143064498901,1.399999976158142,-9.0,-5.0,18.0
19.12299609184265,1.399999976158142,1.3529682159423828,1.399999976158142,-2.0,5.0,1.0
19.333513975143433,1.399999976158142,1.349449872970581,1.399999976158142,-1.0,1.0,1.0
19.54307532310486,1.399999976158142,1.3760874271392822,1.399999976158142,-7.0,2.0,1.0
19.75303316116333,1.399999976158142,1.3205657005310059,1.399999976158142,-4.0,6.0,2.0
19.962772846221924,1.399999976158142,1.3043627738952637,1.399999976158142,-5.0,-8.0,-2.0
20.172974824905396,1.399999976158142,1.390204668045044,1.399999976158142,2.0,-1.0,4.0
20.382633924484253,1.399999976158142,1.307261347770691,1.399999976158142,-6.0,-3.0,-1.0
20.592740535736084,1.399999976158142,1.27800452709198,1.399999976158142,-1.0,-5.0,1.0
20.80260944366455,1.399999976158142,1.3235307931900024,1.399999976158142,-5.0,-3.0,0.0
21.01526689529419,1.399999976158142,1.3267979621887207,1.399999976158142,0.0,-3.0,1.0
21.22265625,1.399999976158142,1.3393638134002686,1.399999976158142,-4.0,-1.0,-1.0
21.432305812835693,1.399999976158142,1.3252906799316406,1.399999976158142,-4.0,6.0,-3.0
21.64255166053772,1.399999976158142,1.399999976158142,1.399999976158142,-12.0,-2.0,-2.0
21.972280502319336,1.399999976158142,1.399999976158142,1.399999976158142,-1.0,-1.0,44.0
22.211915969848633,1.399999976158142,1.399999976158142,1.399999976158142,4.0,0.0,43.0
22.421950340270996,1.399999976158142,1.356172800064087,1.399999976158142,2.0,0.0,1.0
22.631911754608154,1.399999976158142,1.399999976158142,1.399999976158142,11.0,-5.0,39.0
22.84166169166565,1.399999976158142,1.399999976158142,1.399999976158142,3.0,0.0,28.0
23.0620436668396,1.399999976158142,1.399999976158142,1.399999976158142,1.0,1.0,1.0
23.292728662490845,1.399999976158142,1.399999976158142,1.399999976158142,-1.0,0.0,30.0
23.501821994781494,1.399999976158142,1.3834112882614136,1.399999976158142,-8.0,-3.0,3.0
23.731798887252808,1.399999976158142,1.3864374160766602,1.399999976158142,4.0,-5.0,-1.0
23.94225549697876,1.399999976158142,1.376510500907898,1.399999976158142,1.0,-3.0,-1.0
24.151856184005737,1.399999976158142,1.3434566259384155,1.399999976158142,5.0,4.0,0.0
24.361445426940918,1.399999976158142,1.3621830940246582,1.399999976158142,-3.0,4.0,1.0
24.571332216262817,1.399999976158142,1.399999976158142,1.399999976158142,-10.0,-7.0,24.0
24.811418294906616,1.399999976158142,1.399999976158142,1.399999976158142,-4.0,-6.0,-2.0
25.021103143692017,1.399999976158142,1.399999976158142,1.399999976158142,-14.0,17.0,0.0
25.231258869171143,1.399999976158142,1.399999976158142,1.399999976158142,-10.0,18.0,3.0
25.44092869758606,1.3314214944839478,1.399999976158142,1.399999976158142,0.0,-20.0,-1.0
25.65114426612854,1.3996596336364746,1.399999976158142,1.399999976158142,-10.0,-8.0,-5.0
25.861100912094116,1.399999976158142,1.399999976158142,1.399999976158142,4.0,3.0,2.0
26.071060180664062,1.399999976158142,1.399999976158142,1.399999976158142,1.0,9.0,10.0
26.280746459960938,1.399999976158142,1.399999976158142,1.399999976158142,-8.0,7.0,1.0
26.490803003311157,1.399999976158142,1.3825258016586304,1.399999976158142,4.0,-1.0,2.0
26.700688123703003,1.399999976158142,1.3918205499649048,1.399999976158142,-2.0,2.0,1.0
26.91075301170349,1.399999976158142,1.373213529586792,1.399999976158142,2.0,-4.0,-1.0
27.12067174911499,1.399999976158142,1.3302348852157593,1.399999976158142,15.0,9.0,1.0
27.33049201965332,1.399999976158142,1.3419116735458374,1.399999976158142,1.0,3.0,3.0
27.540481328964233,1.399999976158142,1.354222297668457,1.399999976158142,-13.0,14.0,0.0
27.750773906707764,1.399999976158142,1.3406423330307007,1.399999976158142,6.0,6.0,-5.0
27.990700483322144,1.399999976158142,1.399999976158142,1.399999976158142,3.0,-15.0,34.0
28.200660705566406,1.399999976158142,1.3646965026855469,1.399999976158142,3.0,-1.0,2.0
28.41064453125,1.399999976158142,1.399999976158142,1.399999976158142,-6.0,5.0,-3.0
28.619964122772217,1.399999976158142,1.3647944927215576,1.399999976158142,-1.0,6.0,3.0
