Lat;Lon;Sats;X;Y
-21.7615063;-41.3369973;12;0.874;2.532
-21.7615063;-41.3369973;12;0.874;2.532
-21.7615055;-41.3369970;12;0.909;2.624
-21.7615055;-41.3369970;12;0.909;2.624
-21.7615043;-41.3369967;12;0.943;2.754
-21.7615043;-41.3369967;12;0.943;2.754
-21.7615032;-41.3369965;12;0.960;2.884
-21.7615032;-41.3369965;12;0.960;2.884
-21.7615023;-41.3369960;12;1.012;2.976
-21.7615023;-41.3369960;12;1.012;2.976
-21.7615012;-41.3369957;12;1.046;3.106
-21.7615012;-41.3369957;12;1.046;3.106
-21.7615000;-41.3369952;12;1.098;3.236
-21.7615000;-41.3369952;12;1.098;3.236
-21.7614990;-41.3369952;12;1.098;3.347
-21.7614990;-41.3369952;12;1.098;3.347
-21.7614978;-41.3369947;12;1.150;3.477
-21.7614978;-41.3369947;12;1.150;3.477
-21.7614968;-41.3369945;12;1.167;3.588
-21.7614968;-41.3369945;12;1.167;3.588
-21.7614957;-41.3369942;12;1.201;3.718
-21.7614957;-41.3369942;12;1.201;3.718
-21.7614947;-41.3369940;12;1.219;3.829
-21.7614947;-41.3369940;12;1.219;3.829
-21.7614933;-41.3369937;12;1.253;3.977
-21.7614933;-41.3369937;12;1.253;3.977
-21.7614925;-41.3369932;12;1.305;4.070
-21.7614925;-41.3369932;12;1.305;4.070
-21.7614918;-41.3369927;12;1.356;4.144
-21.7614918;-41.3369927;12;1.356;4.144
-21.7614905;-41.3369923;12;1.391;4.292
-21.7614905;-41.3369923;12;1.391;4.292
-21.7614897;-41.3369918;12;1.442;4.385
-21.7614897;-41.3369918;12;1.442;4.385
-21.7614885;-41.3369915;12;1.477;4.515
-21.7614885;-41.3369915;12;1.477;4.515
-21.7614875;-41.3369910;12;1.528;4.626
-21.7614875;-41.3369910;12;1.528;4.626
-21.7614865;-41.3369907;12;1.563;4.737
-21.7614865;-41.3369907;12;1.563;4.737
-21.7614855;-41.3369903;12;1.597;4.848
-21.7614855;-41.3369903;12;1.597;4.848
-21.7614847;-41.3369900;12;1.632;4.941
-21.7614847;-41.3369900;12;1.632;4.941
-21.7614833;-41.3369895;12;1.683;5.089
-21.7614833;-41.3369895;12;1.683;5.089
-21.7614825;-41.3369892;12;1.718;5.182
-21.7614825;-41.3369892;12;1.718;5.182
-21.7614815;-41.3369887;12;1.769;5.293
-21.7614815;-41.3369887;12;1.769;5.293
-21.7614807;-41.3369882;12;1.821;5.386
-21.7614807;-41.3369882;12;1.821;5.386
-21.7614802;-41.3369877;12;1.873;5.441
-21.7614802;-41.3369877;12;1.873;5.441
-21.7614790;-41.3369870;12;1.941;5.571
-21.7614790;-41.3369870;12;1.941;5.571
-21.7614783;-41.3369865;12;1.993;5.645
-21.7614783;-41.3369865;12;1.993;5.645
-21.7614773;-41.3369858;12;2.062;5.756
-21.7614773;-41.3369858;12;2.062;5.756
-21.7614763;-41.3369852;12;2.131;5.867
-21.7614763;-41.3369852;12;2.131;5.867
-21.7614755;-41.3369842;12;2.234;5.960
-21.7614755;-41.3369842;12;2.234;5.960
-21.7614742;-41.3369833;12;2.320;6.108
-21.7614742;-41.3369833;12;2.320;6.108
-21.7614733;-41.3369820;12;2.458;6.201
-21.7614733;-41.3369820;12;2.458;6.201
-21.7614727;-41.3369810;12;2.561;6.275
-21.7614727;-41.3369810;12;2.561;6.275
-21.7614722;-41.3369805;12;2.613;6.331
-21.7614722;-41.3369805;12;2.613;6.331
-21.7614715;-41.3369792;12;2.750;6.405
-21.7614715;-41.3369792;12;2.750;6.405
-21.7614710;-41.3369783;12;2.837;6.460
-21.7614710;-41.3369783;12;2.837;6.460
-21.7614705;-41.3369773;12;2.940;6.516
-21.7614705;-41.3369773;12;2.940;6.516
-21.7614700;-41.3369763;12;3.043;6.572
-21.7614700;-41.3369763;12;3.043;6.572
-21.7614692;-41.3369748;12;3.198;6.664
-21.7614692;-41.3369748;12;3.198;6.664
-21.7614685;-41.3369740;12;3.284;6.738
-21.7614685;-41.3369740;12;3.284;6.738
-21.7614682;-41.3369727;12;3.422;6.775
-21.7614682;-41.3369727;12;3.422;6.775
-21.7614677;-41.3369717;12;3.525;6.831
-21.7614677;-41.3369717;12;3.525;6.831
-21.7614677;-41.3369705;12;3.645;6.831
-21.7614677;-41.3369705;12;3.645;6.831
-21.7614673;-41.3369690;12;3.800;6.868
-21.7614673;-41.3369690;12;3.800;6.868
-21.7614677;-41.3369675;12;3.955;6.831
-21.7614677;-41.3369675;12;3.955;6.831
-21.7614680;-41.3369667;12;4.041;6.794
-21.7614680;-41.3369667;12;4.041;6.794
-21.7614673;-41.3369658;12;4.127;6.868
-21.7614673;-41.3369658;12;4.127;6.868
-21.7614672;-41.3369650;12;4.213;6.887
-21.7614672;-41.3369650;12;4.213;6.887
-21.7614673;-41.3369640;12;4.317;6.868
-21.7614673;-41.3369640;12;4.317;6.868
-21.7614672;-41.3369627;12;4.454;6.887
-21.7614672;-41.3369627;12;4.454;6.887
-21.7614670;-41.3369620;12;4.523;6.905
-21.7614670;-41.3369620;12;4.523;6.905
-21.7614668;-41.3369610;12;4.627;6.924
-21.7614668;-41.3369610;12;4.627;6.924
-21.7614673;-41.3369600;12;4.730;6.868
-21.7614673;-41.3369600;12;4.730;6.868
-21.7614670;-41.3369585;12;4.885;6.905
-21.7614670;-41.3369585;12;4.885;6.905
-21.7614673;-41.3369577;12;4.971;6.868
-21.7614673;-41.3369577;12;4.971;6.868
-21.7614675;-41.3369570;12;5.040;6.850
-21.7614675;-41.3369570;12;5.040;6.850
-21.7614677;-41.3369560;12;5.143;6.831
-21.7614677;-41.3369560;12;5.143;6.831
-21.7614678;-41.3369547;12;5.281;6.813
-21.7614678;-41.3369547;12;5.281;6.813
-21.7614680;-41.3369540;12;5.349;6.794
