ime,latitude,longitude,altitude
9.32797884941101,-21.76127052307129,-41.337528228759766,0.0
9.537587881088257,-21.76127052307129,-41.337528228759766,0.0
9.777666330337524,-21.76127052307129,-41.337528228759766,0.0
9.984281301498413,-21.76127052307129,-41.337528228759766,0.0
10.201853513717651,-21.76127052307129,-41.337528228759766,0.0
10.407052040100098,-21.761272430419922,-41.337528228759766,0.0
10.61383056640625,-21.761272430419922,-41.337528228759766,0.0
10.814770936965942,-21.761272430419922,-41.337528228759766,0.0
11.014082193374634,-21.761272430419922,-41.337528228759766,0.0
11.217349290847778,-21.761272430419922,-41.337528228759766,0.0
11.549269437789917,-21.761272430419922,-41.337528228759766,0.0
11.754773616790771,-21.761272430419922,-41.337528228759766,0.0
11.952945232391357,-21.761272430419922,-41.337528228759766,0.0
12.15392279624939,-21.761272430419922,-41.337528228759766,0.0
12.356010437011719,-21.761272430419922,-41.337528228759766,0.0
12.566216468811035,-21.761272430419922,-41.337528228759766,0.0
12.776183366775513,-21.761272430419922,-41.337528228759766,0.0
12.98299765586853,-21.761272430419922,-41.337528228759766,0.0
13.182730674743652,-21.761272430419922,-41.337528228759766,0.0
13.382773637771606,-21.761272430419922,-41.337528228759766,0.0
13.585952520370483,-21.761272430419922,-41.337528228759766,0.0
13.795858383178711,-21.761272430419922,-41.337528228759766,0.0
14.006002187728882,-21.761272430419922,-41.337528228759766,0.0
14.216602802276611,-21.761272430419922,-41.337528228759766,0.0
14.425984859466553,-21.761272430419922,-41.337528228759766,0.0
14.635994911193848,-21.761272430419922,-41.337528228759766,0.0
14.958853006362915,-21.761272430419922,-41.337528228759766,0.0
15.163255214691162,-21.761272430419922,-41.337528228759766,0.0
15.363037586212158,-21.761272430419922,-41.337528228759766,0.0
15.562901496887207,-21.761272430419922,-41.337528228759766,0.0
15.765012979507446,-21.761272430419922,-41.337528228759766,0.0
15.975011348724365,-21.761272430419922,-41.337528228759766,0.0
16.193321466445923,-21.761272430419922,-41.337528228759766,0.0
16.456255435943604,-21.761272430419922,-41.337528228759766,0.0
16.662057876586914,-21.761274337768555,-41.337528228759766,0.0
16.865190982818604,-21.761274337768555,-41.337528228759766,0.0
17.061773777008057,-21.761274337768555,-41.337528228759766,0.0
17.261862754821777,-21.761274337768555,-41.337528228759766,0.0
17.461368322372437,-21.761274337768555,-41.337528228759766,0.0
17.665568590164185,-21.761274337768555,-41.337528228759766,0.0
18.115323543548584,-21.761274337768555,-41.337528228759766,0.0
18.325320959091187,-21.761274337768555,-41.337528228759766,0.0
18.53549575805664,-21.761276245117188,-41.337528228759766,0.0
18.74337148666382,-21.761276245117188,-41.337528228759766,0.0
18.952142000198364,-21.761276245117188,-41.337528228759766,0.0
19.16718602180481,-21.761276245117188,-41.337528228759766,0.0
19.372450351715088,-21.761276245117188,-41.337528228759766,0.0
19.57195544242859,-21.761276245117188,-41.337528228759766,0.0
19.771121740341187,-21.761276245117188,-41.337528228759766,0.0
19.97529697418213,-21.761276245117188,-41.337528228759766,0.0
20.184205055236816,-21.761276245117188,-41.337528228759766,0.0
20.39526867866516,-21.761276245117188,-41.337528228759766,0.0
20.6040141582489,-21.761276245117188,-41.337528228759766,0.0
20.819088459014893,-21.761276245117188,-41.337528228759766,0.0
21.026628494262695,-21.761276245117188,-41.337528228759766,0.0
21.26601481437683,-21.761276245117188,-41.337528228759766,0.0
21.476884126663208,-21.761276245117188,-41.337528228759766,0.0
21.68750023841858,-21.761276245117188,-41.337528228759766,0.0
21.90417218208313,-21.761276245117188,-41.337528228759766,0.0
22.133245706558228,-21.761276245117188,-41.337528228759766,0.0
22.344036102294922,-21.761276245117188,-41.337528228759766,0.0
22.633380651474,-21.761276245117188,-41.337528228759766,0.0
23.14263391494751,-21.761276245117188,-41.337528228759766,0.0
23.3532497882843,-21.761276245117188,-41.337528228759766,0.0
23.561076879501343,-21.761274337768555,-41.337528228759766,0.0
